N1	See readers' New Year photos	How do you celebrate the evening?
N12781	Family dynasty in wood	STEINKJER: Plank and wood are big business for the Tronstad family. Last year, the 3rd generation took over the management of AS Trelast in Steinkjer - it is noticeable on the tax list in Nord-Trøndelag.
N12782	Guro Pettersen is likely to turn pro in England	The 25-year-old is likely to continue his career in England.
N12783	Richard (27) is the world's strongest Trønder	Trondhjemmeren Richard Skog rose to victory in the competition "Norway's strongest man" in Bø in Telemark this weekend.
N12784	Here are the shots from Owl School	Watch the children at Owl School in the children's train.
N12785	- Television can be good for young children	Researchers at NTNU want to find out in a new research project.
N12786	Strong winds may have caused the car to roll	The car was in gear without a handbrake when it rolled into Gaula with a three-year-old boy in the back seat.
N12787	This lobster makes all other lobsters envious	Very rarely two-color lobster caught in the state of Maine in the U.S.
N12788	Disappointed in the municipality	The students in the sixth grade at Breidablikk school do not think anything about Trondheim municipality perhaps closing down Husebybadet.
N12789	Lagom is best	Life can be better for Christmas shoppers, football clubs and Italian voters if they stick to a Swedish expression.
N12790	Woman tried to open plane door on the fly	An American woman has been arrested in Copenhagen after she tried to open an emergency exit in an SAS plane while the plane was on its way from Zurich to Copenhagen.
N12791	Are you willing to cut one road trip a week?	No one can save the world alone, but if everyone cuts one road trip a week, Trondheim will meet the zero-growth target for many years to come.
N12792	Did you see the Northern Lights dancing around Tyholttårnet last night?	See pictures of the Northern Lights from Ringvebukta, Nidaros Cathedral and Tyholttårnet
N12793	Magic with ice	We asked the members of the Facebook group "Stålisgruppen - skating is best with water under the ice" to send us video clips from Trøndelag. Here's a little bit of what came in.
N12794	Highasakite most played Norwegian	Highasakite has the year's most played Norwegian album on the streaming service WiMP.
N12795	Holy Tree Kings Day	The thirteenth day of Christmas (6 January) was a feast day with a high degree of celebration in the Norwegian church far into recent times.
N12796	Lost his newborn son – thanking the nurses for the memories	When the parents learned that their newborn Isaac was going to die, the nurses at the neonatal intensive care unit made sure that the short time they had with their son was as good as possible.
N12797	Now this cottage paradise can be yours	Rissa Soria Moria is sold, but motorcycle clubs can just forget to bid.
N12798	You are the one who shapes your child's personality	11 things to consider.
N12799	Skidded before fatal crash	The woman who died in a traffic accident on Hitra probably skidded on the car just before the collision.
N12800	The wolf back in Oppdal	The sheep farmer saw the wolf chasing the flock of sheep just south of Oppdal center. One lamb confirmed wolf killed.
N12801	Left-wing top grew up with mentally ill mother	"I remember writing a style about compulsory hospitalisation. I got the grade five. But the teacher didn't ask for anything.
N12802	Do you have downlights in the bathroom? Read this!	"The consequence can be severe mold and rot damage.
N12803	House fire at Stubban	Fire in Stubbanvegen is under control.
N12804	New district at Snaustrinda	Initially, Heimdal Gruppen is building 350 homes at Granåsen on Snaustrinda. In a few years, the number will probably reach 2000. READ MORE Construction industry on high gear Fears for its residential area
N12805	Brothers lost their father	The driver did not see the sea mark on the underwater shear.
N12806	Recalling flammable heaters	Applies to all glass panel heaters.
N12807	Charged with pimping in Trondheim	A 26-year-old is charged with pimping after he allegedly rented out his own, as well as subleased two other apartments to prostitutes in Trondheim in 2014.
N12808	- This will scare people away from the train	Grouping fired up illegal flares in the May 1 train.
N12809	- Must assume that it will take time for the small roads to be plowed	The snow gives Trondheim city operations a challenging job.
N12810	Now the residential streets remain	There has been plowing in Trondheim from four o'clock on Sunday night.
N12811	- Young people tricked with fake brand clothes	- Several hip-hop and streetwear stores in Trondheim, Oslo and Bergen sell fake brand clothes. This is according to clothing wholesaler Grim Distribution, which has carried out stik checks in the popular youth stores.
N12812	Believes the controversy in Norske Skog continues	Board member Eilif Due of Norske Skog does not believe the controversy in the company is over, even though Wednesday's extraordinary general meeting will be undramatic. Among the company's creditors, two groups stand against each other.
N12813	"If someone had told me that boys can also paint their nails pink, I would have liked to."	Gender-segregated activities were what I dreaded the most, writes Magnus Slørdahl in this opinion piece.
N12814	Oscar-nominated girls' match in Turkey	Five young girls from play and joy of life to confined life in anticipation of being married off. Fresh Oscar-nominated debut from northern Turkey.
N12815	Think someone tried to light the cat Kompis at Tyholt	Helene Jøssund smelled burnt by her cat Kompis when it came in from the walk on Sunday. When she examined the fur, she found scorch marks.
N12816	Old school in a new costume	"I have drawn the winning ticket," says a delighted principal who is now welcoming the first children to the reopened school.
N12817	Test of 12 yogurts for children	Note! There is a big difference in the sugar content.
N12818	Hospitable at Gammeltunet Hanshus	40 years ago, Jonas and Astrid Gill Haanshuus began the painstaking restoration work at Gammeltunet Hanshus in Soknedal. All the time with open doors.
N12819	- Disturbing that they haven't been able to get down	There is a great risk of avalanches in the area where four men are missing in the mountains at Øksendal. During the day, close to 70 centimeters of new snow has fallen in the mountains.
N12820	Hagerup gets his money back	In 2001, Torgny Hagerup was accused of social security fraud and had to pay NOK 80,000 to the Directorate of Labour. Now he has had his money refunded.
N12821	They have said no to each other - but now they meet again	There are new talks about municipal mergers. The mayors of Hitra and Frøya talk to each other. In Os, Holtålen and Røros there will be a joint chairmanship meeting.
N12822	Here comes the giant hotel	Buchardt is hoping for an opening during the May 16, 2014 game.
N12823	Bakenga's story	War. Escape. An uncle nominated for the Peace Prize. And a best friend who died after a football game. This is also Bakenga.
N12824	A lot has gone wrong for Trøndersk travsport	Regardless of the outcome of the controversy over the trotting track at Leangen, a lot has gone wrong for Trøndersk trotting sports.
